,clusters
1145,10
1146,10
1147,7
1148,0
1149,5
1150,6
1151,10
1152,4
1153,6
1154,9
1155,5
1156,10
1157,8
1158,4
1159,6
1160,9
1161,5
1162,4
1163,9
1164,10
1165,9
1166,4
1167,9
1168,7
1169,7
1170,11
1171,4
1172,5
1173,11
1174,10
1175,5
1176,6
1177,12
1178,6
1179,4
1180,7
1181,6
1182,4
1183,10
1184,11
1185,4
1186,9
1187,12
1188,11
1189,7
1190,2
1191,4
1192,9
1193,8
1194,6
1195,12
1196,9
1197,7
1198,6
1199,4
1200,8
1201,4
1202,4
1203,7
1204,4
1205,9
1206,2
1207,6
1208,6
1209,9
1210,10
1211,9
1212,9
1213,6
1214,7
1215,7
1216,2
1217,6
1218,4
1219,9
1220,2
1221,10
1222,6
1223,5
1224,6
1225,5
1226,12
1227,6
1228,4
1229,4
1230,9
1231,11
1232,4
1233,9
1234,3
1235,3
1236,12
1237,12
1238,3
1239,4
1240,7
1241,10
1242,9
1243,4
1244,10
1245,5
1246,11
1247,6
1248,5
1249,6
1250,6
1251,6
1252,4
1253,11
1254,4
1255,7
1256,6
1257,4
1258,12
1259,11
1260,6
1261,6
1262,7
1263,11
1264,6
1265,2
1266,4
1267,12
1268,6
1269,6
1270,2
1271,10
1272,0
1273,4
1274,7
1275,10
1276,4
1277,9
1278,7
1279,2
1280,11
1281,6
1282,11
1283,6
1284,11
1285,4
1286,10
1287,2
1288,6
1289,6
1290,7
1291,4
1292,11
1293,7
1294,6
1295,5
1296,6
1297,7
1298,0
1299,6
1300,11
1301,4
1302,4
1303,7
1304,5
1305,7
1306,4
1307,10
1308,2
1309,4
1310,5
1311,7
1312,10
1313,6
1314,6
1315,5
1316,12
1317,9
1318,6
1319,4
1320,2
1321,2
1322,10
1323,7
1324,10
1325,4
1326,5
1327,8
1328,4
1329,4
1330,6
1331,7
1332,10
1333,6
1334,4
1335,6
1336,10
1337,6
1338,7
1339,4
1340,4
1341,9
1342,7
1343,6
1344,8
1345,9
1346,9
1347,0
1348,7
1349,7
1350,4
1351,4
1352,7
1353,6
1354,6
1355,7
1356,4
1357,4
1358,4
1359,7
1360,4
1361,7
1362,7
1363,7
1364,7
1365,7
1366,4
1367,10
1368,7
1369,7
1370,7
1371,10
1372,10
1373,10
1374,8
1375,6
1376,10
1377,7
1378,7
1379,11
1380,4
1381,6
1382,6
1383,11
1384,11
1385,10
1386,4
1387,7
1388,7
1389,10
1390,4
1391,6
1392,4
1393,7
1394,7
1395,6
1396,9
1397,4
1398,6
1399,10
1400,6
1401,6
1402,6
1403,10
1404,4
1405,4
1406,10
1407,7
1408,4
1409,9
1410,6
1411,10
1412,0
1413,0
1414,4
1415,6
1416,10
1417,7
1418,5
1419,6
1420,7
1421,2
1422,7
1423,7
1424,4
1425,0
1426,9
1427,6
1428,6
1429,7
1430,9
1431,6
1432,7
1433,4
1434,4
1435,6
1436,7
1437,7
1438,7
1439,7
1440,6
1441,4
1442,7
1443,7
1444,7
1445,9
1446,11
1447,10
1448,4
1449,7
1450,11
1451,11
1452,4
1453,6
1454,6
1455,4
1456,7
1457,11
1458,7
1459,6
1460,7
1461,4
1462,11
1463,2
1464,6
1465,7
1466,12
1467,12
1468,0
1469,4
1470,11
1471,3
1472,3
1473,3
1474,3
1475,3
1476,3
1477,3
1478,4
1479,7
1480,7
1481,4
1482,6
1483,7
1484,7
1485,5
1486,10
1487,10
1488,3
1489,3
1490,3
1491,3
1492,3
1493,3
1494,3
1495,3
1496,3
1497,3
1498,4
1499,10
1500,3
